synonym	primary
ARF5	ARF5
TAL1	TAL1
NSUN3	NSUN3
REEP6	REEP6
TEX13D	TEX13D
POLDIP2	POLDIP2
IFNA13	IFNA13
SRP9	SRP9
TCF23	TCF23
ANO5	ANO5
DUSP11	DUSP11
EFNA5	EFNA5
ZSWIM1	ZSWIM1
P2RY10	P2RY10
UPB1	UPB1
PJA1	PJA1
ZNF215	ZNF215
SPC24	SPC24
MAP3K7CL	MAP3K7CL
CHCHD10	CHCHD10
SPAG1	SPAG1
SHANK3	SHANK3
TENT4B	TENT4B
NUBP2	NUBP2
ZSCAN18	ZSCAN18
ERO1A	ERO1A
C7orf50	C7orf50
RTL5	RTL5
ZNF407	ZNF407
NPIPB8	NPIPB8
SHC4	SHC4
COX20	COX20
FCGBP	FCGBP
TCEAL3	TCEAL3
FAM234A	FAM234A
SLC49A4	SLC49A4
KRT38	KRT38
ALG12	ALG12
KLHL30	KLHL30
C2orf80	C2orf80
CLDN25	CLDN25
LY75-CD302	LY75-CD302
CGB8	CGB8
FAM177A1	FAM177A1
ARSL	ARSL
H3-7	H3-7
ATP8A1	ATP8A1
BICD2	BICD2
TRPM4	TRPM4
OR56B4	OR56B4
BRME1	BRME1
MEMO1	MEMO1
TRIM35	TRIM35
ZNF287	ZNF287
DEXI	DEXI
VWDE	VWDE
ERH	ERH
HDC	HDC
AGMAT	AGMAT
NME9	NME9
ACER2	ACER2
TBC1D3K	TBC1D3K
ELAVL4	ELAVL4
FAM170A	FAM170A
FDX1	FDX1
PCDHGA2	PCDHGA2
MAP4	MAP4
RAE1	RAE1
DDX3Y	DDX3Y
S100A10	S100A10
LRCH1	LRCH1
MAGEA1	MAGEA1
APOL3	APOL3
RSPH6A	RSPH6A
OR7G1	OR7G1
ADAMTS17	ADAMTS17
DCAF12L2	DCAF12L2
CRADD	CRADD
MGMT	MGMT
PRY	PRY
TRAT1	TRAT1
ZC2HC1A	ZC2HC1A
TRPV4	TRPV4
UPP2	UPP2
SLC45A3	SLC45A3
NHERF2	NHERF2
ELMOD2	ELMOD2
MIGA1	MIGA1
C11orf16	C11orf16
OR1D5	OR1D5
KLHDC2	KLHDC2
CRMP1	CRMP1
ORMDL2	ORMDL2
PCK1	PCK1
EZR	EZR
TUBB4A	TUBB4A
ZSCAN10	ZSCAN10
ARB2A	ARB2A
LATS1	LATS1
STK26	STK26
PPFIA2	PPFIA2
NEIL1	NEIL1
MEIS3	MEIS3
OR2W3	OR2W3
IGFBPL1	IGFBPL1
FBXO17	FBXO17
PRAMEF2	PRAMEF2
ACSF3	ACSF3
LMO4	LMO4
CRELD1	CRELD1
WASHC5	WASHC5
PIGK	PIGK
STX18	STX18
SLC22A11	SLC22A11
TBXT	TBXT
CACYBP	CACYBP
RAP2C	RAP2C
KRT6C	KRT6C
VKORC1	VKORC1
ADORA1	ADORA1
ZNF428	ZNF428
HRG	HRG
LAMA4	LAMA4
MARS1	MARS1
SEMA4B	SEMA4B
ALDH7A1	ALDH7A1
PRR21	PRR21
ADH4	ADH4
TCTE1	TCTE1
MPG	MPG
GRK6	GRK6
COQ10A	COQ10A
KCNJ13	KCNJ13
LSM14A	LSM14A
LRRC37A3	LRRC37A3
CLTB	CLTB
PPTC7	PPTC7
ZNF724	ZNF724
MLF2	MLF2
ZNF284	ZNF284
DBN1	DBN1
MRPS18C	MRPS18C
KRTAP9-1	KRTAP9-1
RASSF2	RASSF2
FCGRT	FCGRT
MCOLN3	MCOLN3
LPIN3	LPIN3
ISG20	ISG20
SEC61G	SEC61G
RPL18	RPL18
FOXD1	FOXD1
PPIAL4A	PPIAL4A
EIF2B3	EIF2B3
NHSL3	NHSL3
TRIM4	TRIM4
MAST2	MAST2
KHDRBS3	KHDRBS3
SCFD2	SCFD2
FGL2	FGL2
DUX3	DUX3
H2BC9	H2BC9
UBE2U	UBE2U
MRPL40	MRPL40
GPRC5D	GPRC5D
DERL1	DERL1
FAM241A	FAM241A
ISOC2	ISOC2
ADCY7	ADCY7
NLGN3	NLGN3
SGK1	SGK1
PSMB10	PSMB10
TMUB2	TMUB2
BIRC5	BIRC5
RHOT1	RHOT1
KCNA1	KCNA1
TOX2	TOX2
CDRT4	CDRT4
TAPBPL	TAPBPL
ZNF568	ZNF568
SEMA4D	SEMA4D
DDIT4	DDIT4
LSM3	LSM3
SLC12A9	SLC12A9
ONECUT1	ONECUT1
OR4M2B	OR4M2B
CACNG4	CACNG4
DYNC2LI1	DYNC2LI1
ANKFN1	ANKFN1
AMIGO2	AMIGO2
ACTG1	ACTG1
RHOV	RHOV
FNDC9	FNDC9
SGCB	SGCB
AKTIP	AKTIP
APOA1	APOA1
SPC25	SPC25
GPR27	GPR27
SCN1A	SCN1A
CBFA2T2	CBFA2T2
SMC1A	SMC1A
UBE2L5	UBE2L5
F9	F9
CAPS2	CAPS2
OR8H1	OR8H1
TEX19	TEX19
CWF19L2	CWF19L2
AK9	AK9
RBM15B	RBM15B
EML4	EML4
MON1A	MON1A
ST8SIA3	ST8SIA3
MMP2	MMP2
H3C7	H3C7
TAGLN	TAGLN
DEFB107B	DEFB107B
ETFDH	ETFDH
TEX50	TEX50
ARL14EPL	ARL14EPL
TRB	TRB
GLTP	GLTP
RALGAPB	RALGAPB
CORO7	CORO7
RLF	RLF
DGKA	DGKA
KCNE5	KCNE5
ARFIP1	ARFIP1
ARMC6	ARMC6
CYRIA	CYRIA
CD40LG	CD40LG
GLG1	GLG1
FKBP7	FKBP7
GP2	GP2
ATP6V0D2	ATP6V0D2
BRD3OS	BRD3OS
CALCOCO1	CALCOCO1
RRP9	RRP9
TMEM178B	TMEM178B
FGF2	FGF2
ZNF679	ZNF679
